task,num_words,threshold,dataset,percentage
extrinsic_combined,256,0.05,babylm,2.29
extrinsic_combined,259,0.07,babylm,1.15
extrinsic_combined,262,0.1,babylm,0.0
extrinsic_combined,262,0.15,babylm,0.0
extrinsic_combined,30,0.01,babylm,88.55
corpus_combined,117,0.05,babylm,55.34
corpus_combined,163,0.07,babylm,37.79
corpus_combined,211,0.1,babylm,19.47
corpus_combined,248,0.15,babylm,5.34
corpus_combined,4,0.01,babylm,98.47
corpus_positive,247,0.05,babylm,5.73
corpus_positive,260,0.07,babylm,0.76
corpus_positive,262,0.1,babylm,0.0
corpus_positive,262,0.15,babylm,0.0
corpus_positive,23,0.01,babylm,91.22
intrinsic_combined,131,0.05,babylm,50.0
intrinsic_combined,212,0.07,babylm,19.08
intrinsic_combined,253,0.1,babylm,3.44
intrinsic_combined,260,0.15,babylm,0.76
intrinsic_combined,0,0.01,babylm,100.0
extrinsic_negative,236,0.05,babylm,9.92
extrinsic_negative,254,0.07,babylm,3.05
extrinsic_negative,262,0.1,babylm,0.0
extrinsic_negative,262,0.15,babylm,0.0
extrinsic_negative,3,0.01,babylm,98.85
intrinsic_positive,93,0.05,babylm,64.5
intrinsic_positive,132,0.07,babylm,49.62
intrinsic_positive,188,0.1,babylm,28.24
intrinsic_positive,239,0.15,babylm,8.78
intrinsic_positive,4,0.01,babylm,98.47
intrinsic_negative,43,0.05,babylm,83.59
intrinsic_negative,89,0.07,babylm,66.03
intrinsic_negative,140,0.1,babylm,46.56
intrinsic_negative,229,0.15,babylm,12.6
intrinsic_negative,0,0.01,babylm,100.0
extrinsic_positive,253,0.05,babylm,3.44
extrinsic_positive,255,0.07,babylm,2.67
extrinsic_positive,258,0.1,babylm,1.53
extrinsic_positive,259,0.15,babylm,1.15
extrinsic_positive,69,0.01,babylm,73.66
corpus_negative,179,0.05,babylm,31.68
corpus_negative,245,0.07,babylm,6.49
corpus_negative,262,0.1,babylm,0.0
corpus_negative,262,0.15,babylm,0.0
corpus_negative,0,0.01,babylm,100.0
extrinsic_combined,195,0.05,childes,25.57
extrinsic_combined,229,0.07,childes,12.6
extrinsic_combined,249,0.1,childes,4.96
extrinsic_combined,258,0.15,childes,1.53
extrinsic_combined,23,0.01,childes,91.22
corpus_combined,87,0.05,childes,66.79
corpus_combined,132,0.07,childes,49.62
corpus_combined,193,0.1,childes,26.34
corpus_combined,235,0.15,childes,10.31
corpus_combined,2,0.01,childes,99.24
corpus_positive,187,0.05,childes,28.63
corpus_positive,222,0.07,childes,15.27
corpus_positive,243,0.1,childes,7.25
corpus_positive,260,0.15,childes,0.76
corpus_positive,10,0.01,childes,96.18
intrinsic_combined,88,0.05,childes,66.41
intrinsic_combined,163,0.07,childes,37.79
intrinsic_combined,228,0.1,childes,12.98
intrinsic_combined,253,0.15,childes,3.44
intrinsic_combined,1,0.01,childes,99.62
extrinsic_negative,171,0.05,childes,34.73
extrinsic_negative,229,0.07,childes,12.6
extrinsic_negative,253,0.1,childes,3.44
extrinsic_negative,260,0.15,childes,0.76
extrinsic_negative,3,0.01,childes,98.85
intrinsic_positive,64,0.05,childes,75.57
intrinsic_positive,107,0.07,childes,59.16
intrinsic_positive,162,0.1,childes,38.17
intrinsic_positive,225,0.15,childes,14.12
intrinsic_positive,1,0.01,childes,99.62
intrinsic_negative,39,0.05,childes,85.11
intrinsic_negative,80,0.07,childes,69.47
intrinsic_negative,141,0.1,childes,46.18
intrinsic_negative,204,0.15,childes,22.14
intrinsic_negative,0,0.01,childes,100.0
extrinsic_positive,172,0.05,childes,34.35
extrinsic_positive,210,0.07,childes,19.85
extrinsic_positive,238,0.1,childes,9.16
extrinsic_positive,257,0.15,childes,1.91
extrinsic_positive,19,0.01,childes,92.75
corpus_negative,67,0.05,childes,74.43
corpus_negative,150,0.07,childes,42.75
corpus_negative,234,0.1,childes,10.69
corpus_negative,262,0.15,childes,0.0
corpus_negative,1,0.01,childes,99.62
extrinsic_combined,262,0.05,unified,0.0
extrinsic_combined,262,0.07,unified,0.0
extrinsic_combined,262,0.1,unified,0.0
extrinsic_combined,262,0.15,unified,0.0
extrinsic_combined,214,0.01,unified,18.32
corpus_combined,218,0.05,unified,16.79
corpus_combined,245,0.07,unified,6.49
corpus_combined,260,0.1,unified,0.76
corpus_combined,262,0.15,unified,0.0
corpus_combined,43,0.01,unified,83.59
corpus_positive,262,0.05,unified,0.0
corpus_positive,262,0.07,unified,0.0
corpus_positive,262,0.1,unified,0.0
corpus_positive,262,0.15,unified,0.0
corpus_positive,129,0.01,unified,50.76
intrinsic_combined,124,0.05,unified,52.67
intrinsic_combined,205,0.07,unified,21.76
intrinsic_combined,253,0.1,unified,3.44
intrinsic_combined,261,0.15,unified,0.38
intrinsic_combined,0,0.01,unified,100.0
extrinsic_negative,262,0.05,unified,0.0
extrinsic_negative,262,0.07,unified,0.0
extrinsic_negative,262,0.1,unified,0.0
extrinsic_negative,262,0.15,unified,0.0
extrinsic_negative,83,0.01,unified,68.32
intrinsic_positive,176,0.05,unified,32.82
intrinsic_positive,222,0.07,unified,15.27
intrinsic_positive,253,0.1,unified,3.44
intrinsic_positive,262,0.15,unified,0.0
intrinsic_positive,15,0.01,unified,94.27
intrinsic_negative,150,0.05,unified,42.75
intrinsic_negative,213,0.07,unified,18.7
intrinsic_negative,253,0.1,unified,3.44
intrinsic_negative,261,0.15,unified,0.38
intrinsic_negative,4,0.01,unified,98.47
extrinsic_positive,262,0.05,unified,0.0
extrinsic_positive,262,0.07,unified,0.0
extrinsic_positive,262,0.1,unified,0.0
extrinsic_positive,262,0.15,unified,0.0
extrinsic_positive,202,0.01,unified,22.9
corpus_negative,262,0.05,unified,0.0
corpus_negative,262,0.07,unified,0.0
corpus_negative,262,0.1,unified,0.0
corpus_negative,262,0.15,unified,0.0
corpus_negative,11,0.01,unified,95.8
